wikiStats|et

redirects|443
r|Mall:Infobox Company/doc|Mall:Infokast ettevõte/doc
r|Mall:Commons cat|Mall:Commonsi kategooria
r|Mall:Lang-ru|Mall:Keel-ru
r|Mall:Football squad mid|Mall:JK koosseis kesk
r|Mall:HELI/Klassika|Mall:HELI/Klassitsism
r|Mall:PD-USGov|Mall:AO-US-Keskv
r|Mall:Olümpiavõitjad meeste 4x400 m jooksus|Mall:Olümpiavõitjad meeste 4×400 m jooksus
r|Mall:Opentask|Mall:Mida teha
r|Mall:Infobox majandusteadlane|Mall:Infokast majandusteadlane
r|Mall:C duur|Mall:C-duur
r|Mall:Review-Christgau|Mall:Christgau arvustus
r|Mall:PD-old|Mall:AO-lõppenud
r|Mall:Documentation/doc|Mall:Dokumentatsioon
r|Mall:Olümpiavõitjad meeste 10000 meetri jooksus|Mall:Olümpiavõitjad meeste 10000 m jooksus
r|Mall:Center|Mall:Keskele
r|Mall:About|Mall:See Artikkel
r|Mall:User wikipedia/RC Patrol|Mall:Viimaste muudatuste patrullija
r|Mall:Yes|Mall:Jah
r|Mall:Bullet|Mall:•
r|Mall:Steady|Mall:Kriips
r|Mall:Riik/EL/lipp|Mall:Riik/Euroopa Liit/lipp
r|Mall:Panorama|Mall:Panoraam
r|Mall:Roundup|Mall:ÜmardaÜles
r|Mall:Riik/Põhja-Iiri/vapp|Mall:Riik/Põhja-Iirimaa/vapp
r|Mall:,|Mall:·
r|Mall:Horvaatia asendikaart|Mall:Asendikaart Horvaatia
r|Mall:Infokast Keskprotsessor/doc|Mall:Infokast keskprotsessor/doc

templates|256

template|Mall:Linn/Iisrael
count|23
properties|29
p|8|0
p|lon_ik|21
p|lon_deg|21
p|lat_deg|21
p|elanikke|20
p|4|0
p|lipu_link|1
p|9|0
p|omakeelne_nimi_2|15
p|lipu_pilt|1
p|5|0
p|10|0
p|lon_min|21
p|hääldus|6
p|vapi_pilt|6
p|omakeelne_nimi_5|0
p|nimi|21
p|6|0
p|1|0
p|vapi_link|6
p|lat_ik|21
p|omakeelne_nimi_4|0
p|omakeelne_nimi_1|21
p|2|0
p|pindala|7
p|lat_min|21
p|7|0
p|3|0
p|omakeelne_nimi_3|0

template|Mall:Infokast arvuti
count|2
properties|25
p|tüüp|2
p|hind|2
p|pilt|2
p|mõõtmed|2
p|veebileht|2
p|tootja|0
p|ekraan|1
p|pildiallkiri|0
p|eluiga|0
p|os|2
p|graafika|2
p|Kaal|0
p|täpsem_nimi|0
p|nimi|2
p|looja|2
p|logo_image|0
p|generatsioon|0
p|kaamera|1
p|mälu|2
p|logo_caption|0
p|toide|1
p|sisend|0
p|protsessor|2
p|heli|0
p|salvestus|2

template|Mall:Jalgpallimatš kokkupandav
count|8
properties|28
p|asukoht|6
p|meeskond2|6
p|size|0
p|pealtvaatajaid|6
p|mvp|0
p|kuupäev|7
p|protokoll|5
p|result|0
p|abikohtunikud|0
p|motm|0
p|aet|0
p|taust|6
p|aeg|6
p|staadion|6
p|kohtunik|6
p|penaltiseeria|0
p|tulemus|6
p|note|0
p|väravad2|6
p|stack|0
p|penaltid1|0
p|round|0
p|fourthofficial|0
p|penaltid2|0
p|aggregatescore|0
p|goallineassistants|0
p|väravad1|6
p|meeskond1|6

template|Mall:Infokast Kosmoselaev
count|36
properties|128
p|Võimsus|1
p|LunarLandingCoords|0
p|Orbit Mass|0
p|ReturnSite|0
p|Launch Mass|0
p|mass|23
p|Andmekiirus|0
p|catalogue_number|0
p|pilt|25
p|Semimajor_Axis|0
p|Swath|0
p|name|0
p|Flight Number|0
p|Missiooni_kõrghetk|0
p|Planeedilt_Lahkumine|0
p|missiooni_tüüp|19
p|LunarLiftoffDate|0
p|Planeet|1
p|tiirlemisperiood|9
p|Name|0
p|lõpetas_tegevuse|0
p|Former location|0
p|below|0
p|Refs|0
p|perigee|3
p|Planet_Landing|0
p|Andmelaius|0
p|lahutusvõime|0
p|Longitude|0
p|orbit_repeat|0
p|return_site|0
p|apogee|3
p|orbiidid|1
p|Transponderid|0
p|Mass|1
p|Alltöövõtjad|0
p|Twta|0
p|lehekülg|0
p|organisatioon|21
p|platvorm|4
p|launch_site|0
p|orbiidi_tüüp|15
p|Planeedile_maandumine|1
p|orbit_reference|0
p|Stardiaeg|0
p|praegune_sihtkoht|0
p|Tiirlemisperiood|0
p|orbiiti_sisenemise_aeg|0
p|ekstsentrilisus|0
p|Carrier_Rocket|0
p|orbit_swath|0
p|Orbits Daily|0
p|Twta output power|0
p|lendab_mööda|1
p|Start|0
p|COSPAR_ID|4
p|Repeat_Interval|0
p|möödalennu_aeg|0
