wikiStats|ga

redirects|192
p|teideal_armas2|1
p|líonláithreán|1327
p|ceantar_teideal|1826
p|coord|13
p|ainmneacha_na_gceannairí|855
p|staitistic_eile_teideal|424
p|ainmneacha_eile|412
p|staitistic_eile|1096
p|teideal_armas1|1
p|achar|663

template|Teimpléad:Bosca Sonraí Fuaimrian
count|1
properties|10
p|ainm|1
p|ceoltóirí|1
p|dáta|1
p|ceannteideal|0
p|íomhá|0
p|fad|1
p|lipéad|1
p|méid_íomhá|0
p|léiritheoir|1
p|stíl|1

template|Teimpléad:Imreoir CLG bosca eolais
count|1
properties|24
p|airde|0
p|comórtas|1
p|spórt|1
p|ainm|1
p|club|1
p|cúige|1
p|leasainm|1
p|foireann|1
p|cluichí(pointí2)|1
p|áit|1
p|bliain1|1
p|ainm béarla|1
p|icsuíomh|1
p|contae|1
p|dáta2|1
p|suíomh|1
p|iccúige|1
p|cluichí(pointí1)|0
p|iccraobhnahéireann|1
p|dáta|1
p|allstars|0
p|íomhá|1
p|bliain2|1
p|ainm club|1

template|Teimpléad:Stát nó críoch na hAstráile
count|8
properties|61
p|Armas|8
p|RangAchair|8
p|TeidealSuaitheantais4|7
p|dáta_imeachta6|1
p|PáirtíAnTaoisigh|8
p|dáta_imeachta3|7
p|TeidealFhearIonadAnRí|8
p|RangDlúis|8
p|ÁitIsÍsle|2
p|dáta_imeachta2|8
p|FearIonadAnRí|8
p|Príomhchathair|8
p|Suaitheantas6|3
p|GinideachAonaid|8
p|Déamainm|8
p|imeacht_bunaithe5|2
p|Mana|5
p|AcharTalún|8
p|CéatadánUisce|8
p|TeidealSuaitheantais3|8
p|Léarscáil|8
p|Dlús|8
p|Fo-nótaí|0
p|SuíocháinSaTeach|8
p|dáta_imeachta4|6
p|imeacht_bunaithe4|6
p|AirdeIsAirde_tr|8
p|TeidealAnTaoisigh|8
p|AirdeIsÍsle|2
p|Suaitheantas5|6
p|TeidealSuaitheantais2|8
p|CriosAma|8
p|AcharUisce|8
p|TeidealSuaitheantais6|3
p|GiorrúchánPoist|8
p|AinmGaelach|5
